Word,Parts of speech,Suffix
জানপদ,বিশেষণ,পদ
জানাজা,বিশেষ্য,াজা
জানালা,বিশেষ্য,ালা
জানিত,বিশেষণ,িত
জানোয়ার,বিশেষ্য,োয়ার
জান্তব,বিশেষণ,্তব
জান্নাত,বিশেষ্য,্নাত
জাপক,বিশেষণ,ক
জাপটা,ক্রিয়া,টা
জাপানি,বিশেষ্য,ানি
জাফরান,বিশেষ্য,রান
জাফরি,বিশেষ্য,রি
জাবর,বিশেষ্য,র
জাবালি,বিশেষ্য,ালি
জামদগ্ন্য,বিশেষ্য,দগ্ন্য
জামদানি,বিশেষ্য,দানি
জামবাটি,বিশেষ্য,বাটি
জামরূল,বিশেষ্য,রূল
জামাই,বিশেষ্য,াই
জামিন,বিশেষ্য,িন
জামিয়ার,বিশেষ্য,িয়ার
জাম্পার,বিশেষ্য,্পার
জাম্বীর,বিশেষণ,্বীর
জারিজুরি,বিশেষ্য,িজুরি
জার্নাল,বিশেষ্য,্নাল
জার্সি,বিশেষ্য,্সি
জালিক,বিশেষণ,িক
জালিবোট,বিশেষ্য,িবোট
জালিম,বিশেষ্য,িম
জাল্ম,বিশেষ্য,্ম
জাহাঁপনা,বিশেষ্য,াঁপনা
জাহাঁবাজ,বিশেষণ,াঁবাজ
জাহাজ,বিশেষ্য,াজ
জাহির,বিশেষণ,ির
জাহ্নবী,বিশেষ্য,্নবী
জায়গা,বিশেষ্য,গা
জায়গির,বিশেষ্য,গির
জায়দাদ,বিশেষ্য,দাদ
জায়ফল,বিশেষ্য,ফল
জায়েজ,বিশেষণ,েজ
জিগির,বিশেষ্য,ির
জিগীষা,বিশেষ্য,ীষা
জিঘাংসা,বিশেষ্য,াংসা
জিজিয়া,বিশেষ্য,িয়া
জিজীবিষা,বিশেষ্য,ীবিষা
জিজ্ঞাসা,বিশেষ্য,্ঞাসা
জিঞ্জির,বিশেষ্য,্জির
জিতাষ্টমী,বিশেষ্য,াষ্টমী
জিতেন্দ্রিয়,বিশেষণ,েন্দ্রিয়
জিত্তল,বিশেষণ,্তল
জিনিস,বিশেষ্য,িস
জিন্দা,বিশেষণ,্দা
জিমনাসটিকস,বিশেষ্য,নাসটিকস
জিম্মা,বিশেষ্য,্মা
জিরজিরে,বিশেষণ,জিরে
জিরানো,ক্রিয়া,ানো
জিরাফ,বিশেষ্য,াফ
জিলাদার,বিশেষ্য,াদার
জিশু,বিশেষ্য,ু
জিষ্ণু,বিশেষ্য,্ণু
জিহীর্ষা,বিশেষ্য,ীর্ষা
জিহ্বা,বিশেষ্য,্বা
জিয়নকাঠি,বিশেষ্য,নকাঠি
জিয়ন্ত,বিশেষণ,ন্ত
জিয়ানো,ক্রিয়া,ানো
জিয়ারত,বিশেষ্য,ারত
জীবদ্দশা,বিশেষ্য,্দশা
জীবনাধিক,বিশেষণ,াধিক
জীবনাশঙ্কা,বিশেষ্য,াশঙ্কা
জীবনোপায়,বিশেষ্য,োপায়
জীবন্মুক্ত,বিশেষণ,্মুক্ত
জীবন্মৃত,বিশেষণ,্মৃত
জীবাণু,বিশেষ্য,ণু
জীবাশ্ম,বিশেষ্য,শ্ম
জুগুপ্সা,বিশেষ্য,প্সা
জুজুত্সু,বিশেষ্য,ত্সু
জুনিপোকা,বিশেষ্য,পোকা
জেরবার,বিশেষণ,ার
জোটেবুড়ি,বিশেষ্য,েবুড়ি
জোড়াতাড়া,বিশেষ্য,়াতাড়া
জোড়াতালি,বিশেষ্য,়াতালি
জোড়াশব্দ,বিশেষ্য,়াশব্দ
জোনাকি,বিশেষ্য,াকি
জোব্বা,বিশেষ্য,্বা
জোয়ান,বিশেষ্য,ান
জ্ঞানাঙ্কুর,বিশেষ্য,ঙ্কুর
জ্ঞানাঞ্জন,বিশেষ্য,ঞ্জন
জ্ঞানাতীত,বিশেষণ,তীত
জ্ঞানেন্দ্রিয়,বিশেষ্য,ন্দ্রিয়
জ্বলজ্বল,বিশেষ্য,্বল
জ্বলতঁহি,ক্রিয়া,ঁহি
জ্বালামালিনী,বিশেষ্য,মালিনী
জ্বালামুখী,বিশেষ্য,মুখী
জ্বালাময়ী,বিশেষণ,ময়ী
জ্যাকেট,বিশেষ্য,েট
জ্যামিতি,বিশেষ্য,িতি
জ্যালজ্যাল,বিশেষ্য,জ্যাল
জ্যোতিষ,বিশেষ্য,িষ
জ্যোতিষ্ক,বিশেষ্য,িষ্ক
জ্যোতিষ্টোম,বিশেষ্য,িষ্টোম
জ্যোত্স্না,বিশেষ্য,্স্না
জয়পাল,বিশেষ্য,াল
জয়োস্তু,ক্রিয়া,স্তু
ঝটাপটি,বিশেষ্য,পটি
ঝড়তিপড়তি,বিশেষ্য,িপড়তি
ঝনত্কার,বিশেষ্য,্কার
ঝাঁগুড়গুড়,বিশেষ্য,ুড়গুড়
ঝাঁপতাল,বিশেষ্য,তাল
ঝিঁকরা,বিশেষ্য,করা
ঝিঁঝি,বিশেষ্য,ঝি
ঝিঙুর,বিশেষ্য,ুর
ঝিণ্টি,বিশেষ্য,্টি
ঝিনঝিন,বিশেষ্য,ঝিন
ঝিনিঝিনি,বিশেষ্য,িঝিনি
ঝিনুক,বিশেষ্য,ুক
ঝিমকিনি,বিশেষ্য,কিনি
ঝিমঝিম,বিশেষ্য,ঝিম
ঝিরকুটে,বিশেষণ,কুটে
ঝিরঝির,বিশেষ্য,ঝির
ঝিলমিল,বিশেষ্য,মিল
ঝিয়ারি,বিশেষ্য,ারি
ঝুলবারান্দা,বিশেষ্য,ারান্দা
টগবগ,বিশেষ্য,গ
টনসিল,বিশেষ্য,িল
টমটম,বিশেষ্য,ম
টম্যাটো,বিশেষ্য,যাটো
টরেটক্কা,বিশেষ্য,্কা
টাঁকশাল,বিশেষ্য,শাল
টাইফুন,বিশেষ্য,ুন
টাইফয়েড,বিশেষ্য,য়েড
টাইব্রেকার,বিশেষ্য,্রেকার
টাপুরটুপুর,বিশেষ্য,ুপুর
টিকটিকি,বিশেষ্য,িকি
টিকিট,বিশেষ্য,ট
টিপ্পনী,বিশেষ্য,পনী
টুকটাক,বিশেষণ,াক
টুকটুক,বিশেষ্য,ুক
টুকিটাকি,বিশেষ্য,টাকি
টুর্নামেণ্ট,বিশেষ্য,ণ্ট
টেণ়্ডাইমেণ্ডাই,বিশেষ্য,্ডাই
টেরাকোটা,বিশেষ্য,কোটা
টেলিগ্রাফ,বিশেষ্য,রাফ
ট্রানজিস্টার,বিশেষ্য,িস্টার
ট্রেজারি,বিশেষ্য,ারি
ট্রেলার,বিশেষ্য,ার
ঠনঠনে,বিশেষণ,নে
ঠিকুজি,বিশেষ্য,জি
ডগডগ,বিশেষ্য,গ
ডগমগ,বিশেষণ,গ
ডভানস,বিশেষ্য,স
ডভারটিজমেন্ট,বিশেষ্য,টিজমেন্ট
ডাঁটো,বিশেষণ,ো
ডাকসাইটে,বিশেষণ,াইটে
ডাকাবুকো,বিশেষণ,বুকো
ডাক্তার,বিশেষ্য,তার
ডামাডোল,বিশেষ্য,োল
ডিগডিগ,বিশেষ্য,িগ
ডিগবাজি,বিশেষ্য,াজি
ডিটেকটিভ,বিশেষ্য,ভ
ডিনামাইট,বিশেষ্য,মাইট
ডিপোজিট,বিশেষ্য,িট
ডিবেঞ্চার,বিশেষ্য,্চার
ডিসটেম্পার,বিশেষ্য,ম্পার
ডিসট্রিক্ট,বিশেষ্য,রিক্ট
ডিসেম্বর,বিশেষ্য,্বর
ডি়জাইন,বিশেষ্য,ন
ডুগডুগি,বিশেষ্য,ুগি
ডেঁপো,বিশেষণ,ো
ডেকরেশন,বিশেষ্য,েশন
ডেকাথলন,বিশেষ্য,থলন
ড্রয়িংরুম,বিশেষ্য,ংরুম
ঢলঢল,বিশেষ্য,ল
ঢাকঢাকগুড়গুড়,বিশেষ্য,াকগুড়গুড়
ঢাকাঢাকি,বিশেষ্য,ঢাকি
ঢিলেঢালা,বিশেষণ,ঢালা
ঢেঁড়স,বিশেষ্য,়স
তকদির,বিশেষ্য,ির
তকলিফ,বিশেষ্য,িফ
তক্ষক,বিশেষ্য,ষক
তগাবি,বিশেষ্য,বি
তড়িদ্বিশ্লেষণ,বিশেষ্য,্লেষণ
ততোধিক,বিশেষণ,ধিক
তত্তাবত্,বিশেষ্য,তাবত্
তত্তুল্য,বিশেষণ,তুল্য
তত্ত্ব,বিশেষ্য,ত্ব
তদাত্মক,বিশেষণ,্মক
তদাত্মা,বিশেষণ,্মা
তদানীং,অব্যয়,ীং
তদানীন্তন,বিশেষণ,ীন্তন
তদ্বিষয়ক,বিশেষণ,য়ক
তপোভঙ্গ,বিশেষ্য,ঙ্গ
তপোমূর্তি,বিশেষ্য,ূর্তি
তপোময়,বিশেষ্য,য়
তপোলোক,বিশেষ্য,োক
তবলচি,বিশেষ্য,চি
তমদ্দুন,বিশেষ্য,্দুন
তমসুক,বিশেষ্য,ুক
তমস্বান,বিশেষণ,্বান
তমিস্র,বিশেষ্য,স্র
তমোগুণ,বিশেষ্য,গুণ
তমোঘ্ন,বিশেষণ,ঘ্ন
তমোনাশ,বিশেষ্য,নাশ
তরতাজা,বিশেষণ,জা
তরবেতর,বিশেষণ,তর
তরমুজ,বিশেষ্য,জ
তলগড়,বিশেষ্য,ড়
তলাগুছি,বিশেষ্য,গুছি
তলাতল,বিশেষ্য,তল
তলাভিঘাত,বিশেষ্য,ভিঘাত
তল্পি,বিশেষ্য,পি
তল্লাট,বিশেষ্য,লাট
তল্লাশ,বিশেষ্য,লাশ
তাঁইশ,বিশেষ্য,শ
তাজ্জব,বিশেষণ,জব
তাত্কালিক,বিশেষণ,কালিক
তাত্ক্ষণিক,বিশেষণ,ক্ষণিক
তাত্ত্বিক,বিশেষণ,ত্বিক
তাত্পর্য,বিশেষ্য,পর্য
তানপুরা,বিশেষ্য,ুরা
তানানানা,বিশেষ্য,নানা
তান্তব,বিশেষণ,তব
তান্ত্রিক,বিশেষণ,ত্রিক
তামাশা,বিশেষ্য,া
তাম্রকুট,বিশেষ্য,ুট
তাস্কর্য,বিশেষ্য,কর্য
তায়দাদ,বিশেষ্য,াদ
তিথ্যমৃতযোগ,বিশেষ্য,তযোগ
তিমিঙ্গিল,বিশেষ্য,্গিল
তিরস্কার,বিশেষ্য,্কার
তিলককামোদ,বিশেষ্য,কামোদ
তিলকশ্যাম,বিশেষ্য,শ্যাম
তিলোত্তমা,বিশেষ্য,ত্তমা
তুঁদুল,বিশেষ্য,দুল
তুঘলকি,বিশেষণ,লকি
তুড়িংবিড়িং,বিশেষ্য,়িংবিড়িং
তুফান,বিশেষ্য,ান
তুবড়ি,বিশেষ্য,ড়ি
তুমুল,বিশেষণ,ুল
তুরকি,বিশেষ্য,কি
তুরপুন,বিশেষ্য,পুন
তুরস্কমণি,বিশেষ্য,স্কমণি
তুরানি,বিশেষণ,ানি
তুরুক,অব্যয়,ুক
তুরুষ্ক,বিশেষ্য,ুষ্ক
তুলকালাম,বিশেষ্য,কালাম
তুলট,বিশেষণ,ট
তুলতুল,বিশেষ্য,তুল
তুলনা,বিশেষ্য,না
তুলসী,বিশেষ্য,সী
তুষানল,বিশেষ্য,ানল
তুষার,বিশেষ্য,ার
তুহিন,বিশেষ্য,িন
তেঁএ,অব্যয়,এ
তেঁতুল,বিশেষ্য,তুল
তেউটে,বিশেষ্য,টে
তেওড়,বিশেষ্য,ড়
তেওর,বিশেষ্য,র
তেকাঠি,বিশেষ্য,াঠি
তেজবর,বিশেষ্য,বর
তেজস্কর,বিশেষণ,স্কর
তেজস্ক্রিয়,বিশেষণ,স্ক্রিয়
তেজারত,বিশেষ্য,ারত
তেজালো,বিশেষণ,ালো
তেজীয়ান,বিশেষণ,ীয়ান
তেজোগর্ভ,বিশেষণ,োগর্ভ
তেজোময়,বিশেষণ,োময়
তেজোহীন,বিশেষণ,োহীন
তেতাল্লিশ,বিশেষ্য,াল্লিশ
তেত্রিশ,বিশেষ্য,্রিশ
তেপান্তর,বিশেষ্য,ান্তর
তেভাগা,বিশেষ্য,াগা
তেরিজ,বিশেষ্য,িজ
তেরিমেরি,বিশেষ্য,িমেরি
তেরিয়া,বিশেষণ,িয়া
তেরেট,বিশেষ্য,েট
তেলাপোকা,বিশেষ্য,াপোকা
তেলুগু,বিশেষ্য,ুগু
তেলেঙ্গা,বিশেষণ,েঙ্গা
তেলেনা,বিশেষ্য,েনা
তেলেভাজা,বিশেষ্য,েভাজা
তেসরা,বিশেষ্য,রা
তেহাই,বিশেষ্য,াই
তোকমারি,বিশেষ্য,মারি
তোটক,বিশেষ্য,ক
তোড়ই,ক্রিয়া,়ই
তোড়জোড়,বিশেষ্য,়জোড়
তোফা,বিশেষণ,া
তোলপাড়,বিশেষ্য,পাড়
তোলাপাড়া,বিশেষ্য,াপাড়া
তোশক,বিশেষ্য,ক
তোষামোদ,বিশেষ্য,ামোদ
তোসদান,বিশেষ্য,দান
তোহে,সর্বনাম,ে
তোয়াক্কা,বিশেষ্য,াক্কা
তোয়াজ,বিশেষ্য,াজ
তোয়ালে,বিশেষ্য,ালে
ত্বদীয়,বিশেষণ,ীয়
ত্বরমাণ,বিশেষণ,মাণ
ত্বরান্বিত,বিশেষণ,ান্বিত
ত্বাচ,বিশেষণ,চ
ত্বাদৃশ,বিশেষণ,দৃশ
ত্বিষাম্পতি,বিশেষ্য,ষাম্পতি
ত্রসরেণু,বিশেষ্য,েণু
ত্রস্নু,বিশেষণ,নু
ত্রিংশ,বিশেষণ,শ
ত্রৈবর্ষিক,বিশেষণ,ষিক
ত্র্যক্ষর,বিশেষ্য,ষর
ত্র্যম্বক,বিশেষ্য,বক
ত্রয়োদশ,বিশেষ্য,দশ
ত্রয়োবিংশ,বিশেষণ,বিংশ
তয়খানা,বিশেষ্য,ানা
থইথই,বিশেষ্য,ই
থরথর,অব্যয়,র
থরহরি,বিশেষণ,রি
থানকুনি,বিশেষ্য,ুনি
থার্মোমিটার,বিশেষ্য,টার
থিরথিরানি,বিশেষ্য,িরানি
থুকথুক,অব্যয়,ুক
থেঁতলানো,ক্রিয়া,লানো
দক্ষিণ,বিশেষ্য,ণ
দক্ষিণরায়,বিশেষ্য,ণরায়
দক্ষিণা,বিশেষ্য,ণা
দক্ষিণাচল,বিশেষ্য,ণাচল
দক্ষিণাচার,বিশেষ্য,ণাচার
দক্ষিণান্ত,বিশেষ্য,ণান্ত
দক্ষিণাপথ,বিশেষ্য,ণাপথ
দক্ষিণাবর্ত,বিশেষণ,ণাবর্ত
দক্ষিণাবহ,বিশেষ্য,ণাবহ
দক্ষিণাস্য,বিশেষণ,ণাস্য
দক্ষিণায়ন,বিশেষ্য,ণায়ন
দক্ষিণী,বিশেষণ,ণী
দগদগ,অব্যয়,গ
দণ্ডকলস,বিশেষ্য,লস
দণ্ডকাক,বিশেষ্য,াক
দণ্ডকারণ্য,বিশেষ্য,ারণ্য
দণ্ডার্হ,বিশেষণ,র্হ
দন্তায়ুধ,বিশেষ্য,য়ুধ
দন্তোদ্গম,বিশেষ্য,দ্গম
দন্ত্যবর্ণ,বিশেষ্য,যবর্ণ
দমকল,বিশেষ্য,ল
দমদমা,বিশেষ্য,মা
দমননীতি,বিশেষ্য,নীতি
দমবাজ,বিশেষণ,াজ
দমসম,বিশেষণ,ম
দমসানো,বিশেষ্য,ানো
দম্পতি,বিশেষ্য,পতি
দম্ভোক্তি,বিশেষ্য,ভোক্তি
দম্ভোলি,বিশেষ্য,ভোলি
দরখাস্ত,বিশেষ্য,াস্ত
দরদালান,বিশেষ্য,ালান
দরপত্তনি,বিশেষ্য,ত্তনি
দরপরদা,বিশেষ্য,রদা
দরবেশ,বিশেষ্য,েশ
দরমাহা,বিশেষ্য,াহা
দর্দুর,বিশেষ্য,দুর
দর্শক,বিশেষ্য,শক
দর্শনীয়,বিশেষণ,শনীয়
দর্শা,ক্রিয়া,শা
দর্শয়িতা,বিশেষণ,শয়িতা
দলদলে,বিশেষণ,লে
দলমাদল,বিশেষ্য,াদল
দশানন,বিশেষ্য,ন
দশাবতার,বিশেষ্য,তার
দশাশ্ব,বিশেষ্য,্ব
দশাসই,বিশেষণ,ই
দস্তরখান,বিশেষ্য,ান
দস্তাবেজ,বিশেষ্য,েজ
দাঁড়কাক,বিশেষ্য,়কাক
দাঁড়াশ,বিশেষ্য,়াশ
দাগরাজি,বিশেষ্য,াজি
দাদখানি,বিশেষ্য,ানি
দাদুপন্হী,বিশেষ্য,পন্হী
দানেচ্ছা,বিশেষ্য,চ্ছা
দানেশমন্দ,বিশেষ্য,শমন্দ
দামাদামি,বিশেষ্য,দামি
দামামা,বিশেষ্য,মা
দাম্পত্য,বিশেষণ,পত্য
দাম্ভিক,বিশেষণ,ভিক
দারচিনি,বিশেষ্য,িনি
দারোগা,বিশেষ্য,গা
দার্ঢ্য,বিশেষ্য,ঢ্য
দার্শনিক,বিশেষণ,শনিক
দায়গ্রস্ত,বিশেষণ,্রস্ত
দিগঙ্গনা,বিশেষ্য,্গনা
দিগ্গজ,বিশেষ্য,গজ
দিগ্জ্ঞান,বিশেষ্য,জ্ঞান
দিগ্দর্শন,বিশেষ্য,দর্শন
দিগ্ভোলা,বিশেষণ,ভোলা
দিনাতিপাত,বিশেষ্য,তিপাত
দিনেমার,বিশেষ্য,মার
দীপান্বিতা,বিশেষ্য,ন্বিতা
দীপোত্সব,বিশেষ্য,ত্সব
দীপ্তাংশু,বিশেষ্য,তাংশু
দুঁদে,বিশেষণ,ে
দুনির্মিত্ত,বিশেষ্য,্মিত্ত
দুরতিক্রমণ,বিশেষ্য,ক্রমণ
দুরবগাহ,বিশেষণ,াহ
দুরাকাঙ্ক্ষা,বিশেষ্য,্ক্ষা
দুর্যোধন,বিশেষ্য,ন
দুলিচা,বিশেষ্য,চা
দুশ্চিকিত্স্য,বিশেষণ,ত্স্য
দূতাবাস,বিশেষ্য,বাস
দূরেক্ষণ,বিশেষ্য,ক্ষণ
দেবাদিদেব,বিশেষ্য,দিদেব
দেবাদেশ,বিশেষ্য,দেশ
দেবানুগ্রহ,বিশেষ্য,নুগ্রহ
দেবাশ্রিত,বিশেষণ,শ্রিত
দেশাচার,বিশেষ্য,চার
দেশাত্মবোধ,বিশেষ্য,ত্মবোধ
দেশোত্পন্ন,বিশেষণ,ত্পন্ন
দেহাতীত,বিশেষণ,ীত
দেহাত্মপ্রত্যয়,বিশেষ্য,্মপ্রত্যয়
দেহাত্মবাদ,বিশেষ্য,্মবাদ
দেহাবরণ,বিশেষ্য,রণ
দেহাবসান,বিশেষ্য,সান
দেয়াসিনি,বিশেষ্য,সিনি
দৈনন্দিন,বিশেষণ,্দিন
দোঁহা,বিশেষ্য,হা
দোগ্ধা,বিশেষণ,্ধা
দোজখ,বিশেষ্য,খ
দোদুল,বিশেষণ,ুল
দোদুল্যমান,বিশেষণ,ুল্যমান
দোপাট্টা,বিশেষণ,াট্টা
দোবজা,বিশেষ্য,জা
দোমালা,বিশেষণ,ালা
দোরঙা,বিশেষণ,ঙা
দোর্দণ্ড,বিশেষ্য,্দণ্ড
দোলাই,বিশেষ্য,াই
দোলাচলচিত্ত,বিশেষণ,াচলচিত্ত
দোলায়মান,বিশেষণ,ায়মান
দোলায়িত,বিশেষণ,ায়িত
দোহদ,বিশেষ্য,দ
দোয়াত,বিশেষ্য,াত
দৌরাত্ম্য,বিশেষ্য,ম্য
দৌর্গন্ধ্য,বিশেষ্য,্ধ্য
দ্বন্দ্ব,বিশেষ্য,দ্ব
দ্বাত্রিংশ,বিশেষণ,রিংশ
দ্বাবিংশ,বিশেষণ,ংশ
দ্বাসপ্ততি,বিশেষ্য,্ততি
দ্বিষত্,বিশেষণ,ত্
দ্ব্যাত্মবাদী,বিশেষণ,মবাদী
দ্যোতনা,বিশেষ্য,না
দ্রিমিদ্রিমি,বিশেষ্য,দ্রিমি
ধড়ফড়,বিশেষ্য,ড়
ধড়মড়,বিশেষ্য,ড়
ধড়িবাজ,বিশেষণ,বাজ
ধনিষ্ঠা,বিশেষ্য,ষ্ঠা
ধন্দা,বিশেষ্য,দা
ধন্বন্তরি,বিশেষ্য,বন্তরি
ধন্বী,বিশেষণ,বী
ধন্যাক,বিশেষ্য,যাক
ধম্মিল্ল,বিশেষ্য,ল্ল
ধরপাকড়,বিশেষ্য,ড়
ধসধস,বিশেষ্য,স
ধস্তাধস্তি,বিশেষ্য,তাধস্তি
ধাঁধা,বিশেষ্য,ধা
ধাউড়,বিশেষণ,ড়
ধাত্রী,বিশেষ্য,্রী
ধাত্রেয়ী,বিশেষ্য,্রেয়ী
ধানশ্রী,বিশেষ্য,শ্রী
ধানাইপানাই,বিশেষ্য,াইপানাই
ধান্যেশ্বরী,বিশেষ্য,্যেশ্বরী
ধাপধাড়াগোবিন্দপুর,বিশেষ্য,ধাড়াগোবিন্দপুর
ধাপ্পা,বিশেষ্য,্পা
ধাবমান,বিশেষণ,মান
ধাবিত,বিশেষণ,িত
ধামগুজারি,বিশেষ্য,গুজারি
ধামনিক,বিশেষণ,নিক
ধামসাধামসি,বিশেষ্য,সাধামসি
ধামালি,বিশেষ্য,ালি
ধারণা,বিশেষ্য,ণা
ধারণীয়,বিশেষণ,ণীয়
ধারালো,বিশেষণ,ালো
ধারিণী,বিশেষণ,িণী
ধারোষ্ণ,বিশেষণ,োষ্ণ
ধার্তরাষ্ট্র,বিশেষ্য,্তরাষ্ট্র
ধারয়িতা,বিশেষণ,য়িতা
ধারয়িষ্ণু,বিশেষণ,য়িষ্ণু
ধাষ্ট্য,বিশেষ্য,্ট্য
ধীরাধীরা,বিশেষ্য,াধীরা
ধীরোদাত্ত,বিশেষণ,োদাত্ত
ধীরোদ্ধত,বিশেষ্য,োদ্ধত
ধুঁকনি,বিশেষ্য,নি
ধুনখারা,বিশেষ্য,ারা
ধুন্ধুমার,বিশেষ্য,ধুমার
ধ্বন্যাত্মক,বিশেষণ,যাত্মক
নওজোয়ান,বিশেষ্য,োয়ান
নওরোজ,বিশেষ্য,োজ
নকড়াছকড়া,বিশেষ্য,ছকড়া
নকিবদার,বিশেষ্য,দার
নজরুলগীতি,বিশেষ্য,লগীতি
নটিবায়োটিক,বিশেষণ,বায়োটিক
নতুবা,অব্যয়,বা
নতোন্নত,বিশেষণ,ন্নত
নন্দনতত্ত্ব,বিশেষ্য,তত্ত্ব
নবোঢ়া,বিশেষণ,ঢ়া
নবোদিত,বিশেষণ,দিত
নবোদ্যম,বিশেষ্য,দ্যম
নভোমণি,বিশেষ্য,ি
নরকান্তক,বিশেষ্য,ান্তক
নরোত্তম,বিশেষ্য,ত্তম
নর্দমা,বিশেষ্য,দমা
নর্দিত,বিশেষণ,দিত
নর্মদা,বিশেষ্য,মদা
নলিনাক্ষ,বিশেষণ,নাক্ষ
নাইটিংগেল,বিশেষ্য,িংগেল
নাইট্রোজেন,বিশেষ্য,্রোজেন
নাকসাট,বিশেষ্য,াট
নাগরদোলা,বিশেষ্য,দোলা
নাগরিকা,বিশেষ্য,িকা
নাচিকেত,বিশেষ্য,কেত
নাছো়ড়,বিশেষণ,়ড়
নাদুসনুদুস,বিশেষণ,সনুদুস
নানকপন্হী,বিশেষণ,পন্হী
নান্দনিক,বিশেষণ,দনিক
নান্দী,বিশেষ্য,দী
নাবাধ্যক্ষ,বিশেষ্য,যক্ষ
নামঞ্জুর,বিশেষণ,্জুর
নামাঙ্কিত,বিশেষণ,ঙ্কিত
নামোচ্চারণ,বিশেষ্য,চ্চারণ
নারসিংহী,বিশেষ্য,ংহী
নারায়ণ,বিশেষ্য,ণ
নালায়েক,বিশেষণ,য়েক
নাশপাতি,বিশেষ্য,াতি
নাশবন্দি,বিশেষ্য,ন্দি
নাস্তানাবুদ,বিশেষণ,তানাবুদ
নিউজপ্রিণ্ট,বিশেষ্য,রিণ্ট
নিকুম্ভিলা,বিশেষ্য,্ভিলা
নিগ্রো,বিশেষ্য,রো
নিচ্ছিদ্র,বিশেষণ,ছিদ্র
নিতকনে,বিশেষ্য,ে
নিদর্শনা,বিশেষ্য,শনা
নিবসতি,বিশেষ্য,তি
নিবারক,বিশেষণ,রক
নিমখুন,বিশেষণ,ুন
নিমিত্ত,বিশেষ্য,ত্ত
নিমীলন,বিশেষ্য,লন
নিম্নাংশ,বিশেষ্য,নাংশ
নিম্নাঙ্গ,বিশেষ্য,নাঙ্গ
নিম্নাঞ্চল,বিশেষ্য,নাঞ্চল
নিযোক্তা,বিশেষণ,্তা
নিযোজ্য,বিশেষণ,্য
নিরতিশয়,বিশেষণ,শয়
নিরাকাঙ্ক্ষ,বিশেষণ,্ক্ষ
নিরুপদ্রপ,বিশেষণ,রপ
নিরুপাখ্য,বিশেষণ,্য
নির্নিমেষ,বিশেষণ,ষ
নির্বান্ধব,বিশেষণ,ধব
নির্মন্হন,বিশেষ্য,হন
নির্লোভী,বিশেষণ,ী
নিশাদল,বিশেষ্য,ল
নিশিগন্ধা,বিশেষ্য,ন্ধা
নিষ্কণ্টক,বিশেষণ,্টক
নিষ্করুণ,বিশেষণ,ুণ
নিষ্কলঙ্ক,বিশেষণ,ঙ্ক
নিষ্কলুষ,বিশেষণ,ুষ
নিষ্ক্রিয়া,বিশেষ্য,রিয়া
নিষ্প্রদীপ,বিশেষণ,প
নিষ্প্রয়োজন,বিশেষণ,জন
নিয়ন্ত্রক,বিশেষণ,ত্রক
নিয়ন্ত্রণ,বিশেষ্য,ত্রণ
নিয়মসেবা,বিশেষ্য,েবা
নীচকুলোদ্ভব,বিশেষণ,ুলোদ্ভব
নীরন্ধ্র,বিশেষণ,্ধ্র
নীলাম্বর,বিশেষ্য,ম্বর
নীলাম্বরি,বিশেষ্য,ম্বরি
নীলোত্পল,বিশেষ্য,ত্পল
নৃশংস,বিশেষণ,ংস
নেতিবাচক,বিশেষণ,বাচক
নেপামবোমা,বিশেষ্য,বোমা
নৈঃশব্দ্য,বিশেষ্য,শব্দ্য
নৈঃসঙ্গ্য,বিশেষ্য,সঙ্গ্য
নৈকট্য,বিশেষ্য,ট্য
নৈকষেয়,বিশেষ্য,ষেয়
নৈকষ্য,বিশেষণ,ষ্য
নৈগম,বিশেষ্য,ম
নৈত্যিক,বিশেষণ,্যিক
নৈদাঘ,বিশেষণ,াঘ
নৈপুণ্য,বিশেষ্য,ুণ্য
নৈবচ,অব্যয়,চ
নৈমিত্তিক,বিশেষণ,িত্তিক
নৈরপেক্ষ্য,বিশেষ্য,পেক্ষ্য
নৈরাকার,বিশেষণ,াকার
নৈরাজ্য,বিশেষ্য,াজ্য
নৈর্ঋত,বিশেষ্য,্ঋত
নৈর্গুণ্য,বিশেষ্য,্গুণ্য
নৈর্ব্যক্তিক,বিশেষণ,্ব্যক্তিক
নৈষধ,বিশেষণ,ধ
নৈষাদ,বিশেষ্য,াদ
নৈষ্কর্ম্য,বিশেষ্য,্কর্ম্য
নৈষ্ঠিক,বিশেষণ,্ঠিক
নৈয়মিক,বিশেষণ,মিক
নোফিলিস,বিশেষ্য,িস
ন্যগ্রোধ,বিশেষ্য,রোধ
ন্যাতপ্যাত,বিশেষ্য,্যাত
ন্যালাখ্যাপা,বিশেষণ,যাপা
নয়নানন্দ,বিশেষ্য,ানন্দ
নয়নাভিরাম,বিশেষণ,াভিরাম
নয়নোপান্ত,বিশেষ্য,োপান্ত
পঁচাত্তর,বিশেষ্য,াত্তর
পঁচাশি,বিশেষ্য,াশি
পঁচিশ,বিশেষ্য,িশ
পঁয়তাল্লিশ,বিশেষ্য,তাল্লিশ
পঁয়ত্রিশ,বিশেষ্য,ত্রিশ
পঁয়ষট্টি,বিশেষ্য,ষট্টি
পক্ববিম্বাধরোষ্ঠী,বিশেষ্য,িম্বাধরোষ্ঠী
পঞ্চাশত্,বিশেষ্য,ত্
পঞ্চাশিকা,বিশেষ্য,িকা
